No. Data Points,Actual,Mira,OSARG,RRab,RRc,SRV,clasCep,clasOvertoneCep,contactBinary,detachedBinary,t2Cep,t2RVTau,All
13900 < 14000,t2RVTau,0,0,1,0,0,0,0,0,0,0,2,3
1400 < 1500,Mira,462,0,0,0,0,0,0,0,0,0,0,462
1400 < 1500,OSARG,0,710,0,1,99,0,0,0,0,0,0,810
1400 < 1500,RRab,0,0,94,21,0,0,0,1,0,3,0,119
1400 < 1500,RRc,0,0,1,115,0,0,0,0,0,3,0,119
1400 < 1500,SRV,8,19,0,0,680,0,0,0,0,0,0,707
1400 < 1500,contactBinary,0,0,0,6,0,0,1,249,45,2,0,303
1400 < 1500,detachedBinary,0,0,1,4,0,0,0,141,205,0,2,353
1400 < 1500,t2Cep,0,0,0,0,0,0,0,0,0,12,0,12
1400 < 1500,t2RVTau,0,0,0,0,0,0,0,0,0,0,3,3
14000 < 14100,RRab,0,0,5,0,0,0,0,0,0,0,0,5
14000 < 14100,RRc,0,1,0,0,0,0,0,0,0,1,0,2
14100 < 14200,RRab,0,0,2,0,1,0,0,0,0,3,0,6
14200 < 14300,RRab,0,0,2,0,0,0,0,0,0,0,0,2
14200 < 14300,RRc,0,0,0,7,0,0,0,0,0,1,0,8
14200 < 14300,t2RVTau,0,0,0,0,0,0,0,0,0,0,3,3
14300 < 14400,RRab,0,0,2,1,0,0,0,0,0,1,0,4
14300 < 14400,RRc,0,0,0,12,1,0,0,0,0,0,0,13
14400 < 14500,RRab,0,0,4,1,0,0,0,0,0,0,0,5
14400 < 14500,RRc,0,0,0,6,0,0,0,0,0,0,0,6
14400 < 14500,t2Cep,0,0,0,0,0,0,0,0,0,3,0,3
14500 < 14600,RRab,0,0,2,0,0,0,0,0,0,0,0,2
14500 < 14600,RRc,0,0,0,3,0,0,0,0,0,0,0,3
14500 < 14600,t2Cep,0,0,0,0,0,0,0,0,0,3,0,3
14500 < 14600,t2RVTau,0,0,0,0,0,0,0,0,0,0,3,3
14600 < 14700,RRab,0,0,4,0,0,0,0,0,0,1,0,5
14600 < 14700,RRc,0,0,1,1,0,0,0,0,0,0,0,2
14600 < 14700,t2Cep,0,0,0,0,0,0,0,0,0,3,0,3
14700 < 14800,RRab,0,0,1,0,0,0,0,0,0,0,0,1
14700 < 14800,RRc,0,0,0,11,0,0,0,0,0,0,0,11
14800 < 14900,RRab,0,0,17,2,0,0,0,0,0,2,0,21
14800 < 14900,RRc,0,0,4,27,0,0,0,0,0,0,0,31
14800 < 14900,t2Cep,0,0,0,0,0,0,0,0,0,3,0,3
14900 < 15000,RRab,0,0,112,7,0,0,0,0,0,8,0,127
14900 < 15000,RRc,0,0,8,157,0,0,0,0,0,1,0,166
14900 < 15000,clasOvertoneCep,0,0,0,0,0,0,1,0,0,2,0,3
14900 < 15000,t2Cep,0,0,2,0,0,0,0,0,0,22,0,24
1500 < 1600,Mira,24,0,0,0,0,0,0,0,0,0,0,24
1500 < 1600,OSARG,0,24,0,0,2,0,0,0,0,0,1,27
1500 < 1600,RRab,0,0,159,29,0,1,1,1,1,3,0,195
1500 < 1600,RRc,0,0,6,283,0,0,0,1,0,1,0,291
1500 < 1600,SRV,1,2,0,0,17,0,0,0,0,0,0,20
1500 < 1600,clasCep,0,0,0,3,0,0,0,0,0,0,0,3
1500 < 1600,contactBinary,0,0,0,0,0,0,0,1,0,0,0,1
1500 < 1600,detachedBinary,0,0,0,0,0,0,0,0,3,0,0,3
1500 < 1600,t2Cep,0,0,0,0,0,0,0,0,0,42,0,42
1500 < 1600,t2RVTau,0,0,0,0,0,0,0,0,0,0,9,9
15000 < 15100,RRab,0,0,23,2,0,0,0,0,0,0,0,25
15000 < 15100,RRc,0,0,0,14,0,0,0,0,0,0,0,14
15000 < 15100,clasOvertoneCep,0,0,0,3,0,0,0,0,0,0,0,3
15000 < 15100,t2Cep,0,0,0,0,0,0,0,0,0,9,0,9
15000 < 15100,t2RVTau,0,0,0,0,0,0,0,0,0,0,3,3
1600 < 1700,Mira,29,0,0,1,0,0,0,0,0,0,0,30
1600 < 1700,OSARG,0,53,1,0,4,0,0,0,0,0,0,58
1600 < 1700,RRab,0,0,183,46,0,0,0,2,2,5,0,238
1600 < 1700,RRc,0,0,5,209,0,0,0,12,4,2,0,232
1600 < 1700,SRV,0,0,0,0,34,0,0,0,0,0,0,34
1600 < 1700,clasOvertoneCep,0,0,0,0,0,0,4,0,2,0,0,6
