No. Data Points,Actual,Mira,OSARG,RRab,RRc,SRV,clasCep,clasOvertoneCep,contactBinary,detachedBinary,t2Cep,t2RVTau,All
2700 < 2800,RRc,0,0,0,8,0,0,0,0,0,1,0,9
2700 < 2800,SRV,3,33,0,0,375,0,0,0,0,0,0,411
2700 < 2800,contactBinary,0,0,0,0,0,0,0,0,1,1,0,2
2700 < 2800,detachedBinary,0,0,0,1,0,0,0,0,1,0,0,2
2800 < 2900,Mira,15,0,0,0,0,0,0,0,0,0,0,15
2800 < 2900,OSARG,0,17,0,0,3,0,0,0,0,0,0,20
2800 < 2900,RRab,0,0,5,1,0,0,0,0,0,0,0,6
2800 < 2900,RRc,0,0,0,4,0,0,0,0,0,0,0,4
2800 < 2900,SRV,0,1,0,0,8,0,0,0,0,0,0,9
2800 < 2900,contactBinary,0,0,0,0,0,0,0,1,0,0,0,1
2800 < 2900,detachedBinary,0,0,0,0,0,0,0,2,3,1,0,6
2900 < 3000,Mira,15,0,0,0,0,0,0,0,0,0,0,15
2900 < 3000,OSARG,0,63,0,0,6,0,0,0,0,0,0,69
2900 < 3000,RRab,0,0,2,2,0,0,0,0,0,0,0,4
2900 < 3000,RRc,0,0,0,6,0,0,0,0,0,0,0,6
2900 < 3000,SRV,0,4,0,0,37,0,0,0,0,0,0,41
2900 < 3000,detachedBinary,0,0,0,0,0,0,0,2,1,0,0,3
2900 < 3000,t2Cep,0,0,0,0,0,0,0,0,0,3,0,3
300 < 400,Mira,2608,0,60,0,5,82,5,37,4,108,9,2918
300 < 400,OSARG,0,1697,0,0,197,0,2,2,2,2,1,1903
300 < 400,RRab,7,6,549,118,5,724,69,162,8,317,1,1966
300 < 400,RRc,6,0,66,502,5,313,177,474,20,161,2,1726
300 < 400,SRV,92,124,24,10,2001,96,234,547,141,327,24,3620
300 < 400,clasCep,0,0,3,4,0,525,31,2,0,3,0,568
300 < 400,clasOvertoneCep,0,1,0,9,0,7,301,0,0,0,0,318
300 < 400,contactBinary,3,1,21,31,5,40,197,2733,228,93,1,3353
300 < 400,detachedBinary,2,10,4,8,8,10,41,1024,2248,20,3,3378
300 < 400,t2Cep,0,0,3,2,0,4,0,8,1,248,0,266
300 < 400,t2RVTau,0,0,0,0,0,0,0,0,0,3,36,39
3000 < 3100,RRab,0,0,1,0,0,0,0,0,0,0,0,1
3000 < 3100,contactBinary,0,0,0,0,0,0,0,1,2,0,0,3
3000 < 3100,detachedBinary,0,0,1,1,0,0,0,1,2,0,0,5
3100 < 3200,RRab,0,0,2,0,0,0,0,0,0,0,0,2
3100 < 3200,RRc,0,0,0,1,0,0,0,0,0,0,0,1
3100 < 3200,contactBinary,0,0,0,0,0,0,0,0,1,0,0,1
3100 < 3200,detachedBinary,0,0,0,0,0,0,0,0,2,0,0,2
