No. Data Points,Actual,Mira,OSARG,RRab,RRc,RRd,SRV,clasCep,clasOvertoneCep,contactBinary,detachedBinary,dsct,t2Cep,t2RVTau,All
200 < 300,detachedBinary,17,8,8,6,3,8,18,44,3077,2552,3,59,15,5818
200 < 300,dsct,9,23,80,68,18,2,445,610,2257,51,32,297,3,3895
200 < 300,t2Cep,0,0,4,1,0,0,17,7,67,2,0,612,4,714
200 < 300,t2RVTau,0,0,0,0,0,0,0,3,0,0,0,0,105,108
2000 < 2100,Mira,12,0,0,0,0,3,0,0,0,0,0,0,0,15
2000 < 2100,OSARG,0,14,0,1,0,0,0,0,0,0,0,0,0,15
2000 < 2100,RRab,0,1,54,9,3,0,0,0,1,0,0,0,0,68
2000 < 2100,RRc,0,0,3,73,3,0,0,0,0,0,0,2,0,81
2000 < 2100,RRd,0,0,0,0,6,0,0,0,0,0,0,0,0,6
2000 < 2100,SRV,0,4,0,0,0,1,0,0,0,0,1,0,1,7
2000 < 2100,contactBinary,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2000 < 2100,detachedBinary,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2000 < 2100,dsct,0,0,0,0,0,0,0,0,0,0,3,0,0,3
2000 < 2100,t2Cep,0,0,0,0,0,0,0,0,0,0,0,9,0,9
2000 < 2100,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,0,6,6
2100 < 2200,Mira,26,0,0,2,0,2,0,0,0,0,0,0,0,30
2100 < 2200,OSARG,0,5,0,1,0,0,0,0,0,0,0,0,0,6
2100 < 2200,RRab,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2100 < 2200,SRV,0,2,0,1,0,0,0,0,0,0,0,0,0,3
2100 < 2200,contactBinary,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2100 < 2200,detachedBinary,0,0,0,0,0,0,0,0,2,1,0,0,0,3
2100 < 2200,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,0,3,3
2200 < 2300,Mira,22,0,0,0,0,2,0,0,0,0,0,0,0,24
2200 < 2300,OSARG,0,7,0,1,0,4,0,0,0,0,0,0,0,12
2200 < 2300,RRab,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2200 < 2300,RRc,0,0,0,4,0,0,0,0,0,0,0,0,0,4
