No. Data Points,Actual,Mira,OSARG,RRab,RRc,SRV,clasCep,clasOvertoneCep,contactBinary,detachedBinary,dsct,t2Cep,t2RVTau,All
1900 < 2000,OSARG,0,20,0,0,3,0,0,0,0,0,0,0,23
1900 < 2000,RRab,0,0,300,50,0,0,1,0,0,0,16,1,368
1900 < 2000,RRc,0,0,20,466,0,0,0,0,0,0,8,0,494
1900 < 2000,SRV,0,4,0,0,6,0,0,0,0,0,0,0,10
1900 < 2000,clasCep,0,0,3,2,0,3,0,0,0,0,1,0,9
1900 < 2000,detachedBinary,0,0,0,0,0,0,0,0,2,0,0,0,2
1900 < 2000,dsct,0,0,0,0,0,0,0,0,0,3,0,0,3
1900 < 2000,t2Cep,0,0,0,0,0,0,0,0,0,0,72,0,72
1900 < 2000,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,24,24
200 < 300,Mira,804,0,0,0,3,0,0,0,0,0,0,0,807
200 < 300,OSARG,1,740,0,0,104,0,9,5,2,4,1,1,867
200 < 300,RRab,1,0,544,92,0,22,1,15,4,1,35,4,719
200 < 300,RRc,0,1,43,659,0,6,21,15,2,0,7,0,754
200 < 300,SRV,16,57,2,2,889,2,0,3,4,1,6,4,986
200 < 300,clasCep,0,0,0,9,2,159,26,2,0,3,0,0,201
200 < 300,clasOvertoneCep,0,0,0,2,1,5,259,0,0,0,0,0,267
200 < 300,contactBinary,1,0,16,34,0,9,6,1528,162,7,24,3,1790
200 < 300,detachedBinary,4,4,5,17,2,2,5,516,973,5,8,0,1541
200 < 300,dsct,0,0,0,0,0,7,3,0,0,35,0,0,45
200 < 300,t2Cep,3,0,1,0,0,0,0,1,0,0,91,0,96
200 < 300,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,30,30
2000 < 2100,Mira,15,0,0,0,0,0,0,0,0,0,0,0,15
2000 < 2100,OSARG,0,7,0,0,0,0,0,0,0,0,0,0,7
2000 < 2100,RRab,0,0,51,14,0,0,0,0,0,0,1,0,66
2000 < 2100,RRc,0,0,3,87,0,0,0,0,0,0,0,0,90
2000 < 2100,SRV,0,2,0,1,4,0,0,0,0,0,0,0,7
2000 < 2100,contactBinary,0,0,0,0,0,0,0,1,0,0,1,0,2
2000 < 2100,dsct,0,0,0,0,0,0,0,0,0,3,0,0,3
2000 < 2100,t2Cep,0,0,0,0,0,0,0,0,0,0,9,0,9
2000 < 2100,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,6,6
2100 < 2200,Mira,25,0,1,0,4,0,0,0,0,0,0,0,30
2100 < 2200,OSARG,0,7,0,0,0,0,0,0,0,0,0,0,7
2100 < 2200,RRab,0,0,2,0,0,0,0,0,0,0,0,0,2
2100 < 2200,RRc,0,0,0,2,0,0,0,0,0,0,0,0,2
2100 < 2200,SRV,0,4,0,0,4,0,0,0,0,0,1,0,9
2100 < 2200,contactBinary,0,0,0,0,0,0,0,0,0,0,1,0,1
2100 < 2200,detachedBinary,0,0,0,0,0,0,0,1,0,0,0,0,1
2100 < 2200,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,3,3
2200 < 2300,Mira,21,0,0,0,2,0,0,0,0,0,0,1,24
2200 < 2300,OSARG,0,16,0,1,0,0,0,0,0,0,0,0,17
2200 < 2300,RRab,0,0,3,0,0,0,0,0,0,0,0,0,3
2200 < 2300,RRc,0,0,0,2,0,0,0,0,0,0,0,0,2
2200 < 2300,SRV,0,6,0,2,5,0,0,0,0,0,0,0,13
2200 < 2300,detachedBinary,0,0,0,0,0,0,0,0,1,0,0,0,1
2300 < 2400,Mira,107,9,0,0,29,0,0,0,0,0,2,0,147
2300 < 2400,OSARG,2,197,0,0,45,0,0,0,0,0,0,0,244
2300 < 2400,RRab,0,0,3,0,0,0,0,0,0,0,0,0,3
2300 < 2400,RRc,0,0,0,4,0,0,0,0,0,0,0,0,4
2300 < 2400,SRV,7,79,0,0,176,0,0,0,0,0,0,0,262
2300 < 2400,clasCep,0,0,0,0,0,0,0,0,0,0,0,3,3
2300 < 2400,detachedBinary,0,0,0,0,0,0,0,1,0,0,0,0,1
2400 < 2500,Mira,6,0,0,0,0,0,0,0,0,0,0,0,6
2400 < 2500,OSARG,0,7,0,0,2,0,0,0,0,0,0,0,9
2400 < 2500,RRab,0,0,2,0,0,0,0,0,0,0,0,0,2
2400 < 2500,RRc,0,0,0,4,0,0,0,0,0,0,0,0,4
2400 < 2500,SRV,2,0,0,0,6,0,0,0,0,0,0,0,8
2400 < 2500,detachedBinary,0,0,0,0,0,0,0,0,1,0,0,0,1
2500 < 2600,Mira,6,0,0,0,0,0,0,0,0,0,0,0,6
2500 < 2600,OSARG,0,10,0,2,2,0,0,0,0,0,0,0,14
2500 < 2600,RRab,0,0,6,0,0,0,0,0,0,0,0,0,6
2500 < 2600,RRc,0,0,1,6,0,0,0,0,0,0,0,0,7
2500 < 2600,SRV,0,1,0,1,14,0,0,0,0,0,0,0,16
2500 < 2600,contactBinary,0,0,1,0,0,0,0,1,0,0,0,0,2
2500 < 2600,detachedBinary,0,0,0,0,0,0,0,0,3,0,0,0,3
2600 < 2700,Mira,24,0,0,0,0,0,0,0,0,0,0,0,24
2600 < 2700,OSARG,0,48,0,2,1,0,0,0,0,0,0,0,51
2600 < 2700,RRab,0,0,1,1,0,0,0,0,0,0,0,0,2
2600 < 2700,RRc,0,0,0,1,0,0,0,0,0,0,0,0,1
2600 < 2700,SRV,0,1,0,0,22,0,0,0,0,0,0,0,23
2600 < 2700,contactBinary,0,0,1,0,0,0,0,1,0,0,0,0,2
2600 < 2700,detachedBinary,0,0,1,0,0,0,0,0,1,0,0,0,2
2600 < 2700,t2Cep,0,0,0,0,0,0,0,0,0,0,3,0,3
2600 < 2700,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,3,3
2700 < 2800,Mira,330,0,0,0,0,0,0,0,0,0,0,0,330
2700 < 2800,OSARG,0,458,0,0,39,0,0,0,0,0,0,0,497
2700 < 2800,RRab,0,0,3,1,0,0,0,0,0,0,0,0,4
2700 < 2800,RRc,0,0,0,7,0,0,0,0,0,0,0,0,7
2700 < 2800,SRV,8,38,0,0,361,0,0,0,0,0,0,0,407
2700 < 2800,contactBinary,0,0,0,0,0,0,0,4,0,0,2,0,6
2700 < 2800,detachedBinary,0,0,0,1,0,0,0,0,3,0,0,0,4
2800 < 2900,Mira,15,0,0,0,0,0,0,0,0,0,0,0,15
2800 < 2900,OSARG,0,16,0,0,1,0,0,0,0,0,0,0,17
2800 < 2900,RRab,0,0,5,0,0,0,0,0,0,0,0,0,5
2800 < 2900,RRc,0,0,0,3,0,0,0,0,0,0,0,0,3
2800 < 2900,SRV,0,3,0,0,7,0,0,0,0,0,0,0,10
2800 < 2900,detachedBinary,0,0,1,1,0,0,0,0,1,0,0,0,3
2900 < 3000,Mira,15,0,0,0,0,0,0,0,0,0,0,0,15
2900 < 3000,OSARG,0,68,0,0,7,0,0,0,0,0,0,0,75
2900 < 3000,RRab,0,0,3,1,0,0,0,0,0,0,1,0,5
2900 < 3000,RRc,0,0,0,2,0,0,0,0,0,0,2,0,4
2900 < 3000,SRV,0,5,0,0,36,0,0,0,0,0,0,0,41
2900 < 3000,detachedBinary,0,0,1,0,0,0,0,0,1,1,0,0,3
2900 < 3000,t2Cep,0,0,0,0,0,0,0,0,0,0,3,0,3
300 < 400,Mira,1281,0,0,0,0,0,0,0,0,0,0,0,1281
300 < 400,OSARG,0,1784,1,1,201,0,5,1,0,1,0,0,1994
300 < 400,RRab,0,0,476,66,0,7,2,9,1,2,33,1,597
300 < 400,RRc,0,0,21,504,0,2,6,3,0,0,9,0,545
300 < 400,SRV,25,117,1,0,2018,0,1,1,0,0,0,0,2163
300 < 400,clasCep,0,0,2,1,0,186,11,0,0,0,1,0,201
300 < 400,clasOvertoneCep,0,2,0,4,0,0,183,0,0,0,0,0,189
300 < 400,contactBinary,0,0,5,10,0,7,4,1629,201,4,11,1,1872
300 < 400,detachedBinary,2,7,3,8,2,1,2,495,1246,3,3,1,1773
300 < 400,dsct,0,0,1,0,0,2,2,0,0,202,0,0,207
300 < 400,t2Cep,0,0,0,0,0,0,0,0,0,0,130,2,132
300 < 400,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,33,33
3000 < 3100,RRab,0,0,2,0,0,0,0,0,0,0,0,0,2
3000 < 3100,contactBinary,0,0,2,0,0,0,0,1,1,0,0,0,4
3000 < 3100,detachedBinary,0,0,0,0,0,0,0,1,0,0,0,0,1
3100 < 3200,RRab,0,0,7,1,0,0,0,0,0,0,0,0,8
3100 < 3200,RRc,0,0,0,2,0,0,0,0,0,0,0,0,2
3100 < 3200,detachedBinary,0,0,0,0,0,0,0,0,1,0,1,0,2
3200 < 3300,RRab,0,0,3,0,0,0,0,0,0,0,0,0,3
3200 < 3300,RRc,0,0,0,1,0,0,0,0,0,0,2,0,3
3200 < 3300,detachedBinary,0,0,1,0,0,0,0,0,2,0,0,0,3
3300 < 3400,RRab,0,0,1,0,0,0,0,0,0,0,0,0,1
3300 < 3400,RRc,0,0,0,2,0,0,0,0,0,0,0,0,2
3300 < 3400,contactBinary,0,0,0,0,0,0,0,0,0,0,1,0,1
3300 < 3400,detachedBinary,0,0,1,1,0,0,0,1,5,0,0,0,8
3300 < 3400,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,3,3
3400 < 3500,RRab,0,0,5,0,0,0,0,0,0,0,0,0,5
3400 < 3500,RRc,0,0,0,1,0,0,0,0,0,0,0,0,1
