No. Data Points,Actual,Mira,OSARG,RRab,RRc,SRV,clasCep,clasOvertoneCep,contactBinary,detachedBinary,t2Cep,t2RVTau,All
2200 < 2300,Mira,13,4,0,0,6,0,0,0,0,0,1,24
2200 < 2300,OSARG,0,11,0,3,0,0,0,0,0,0,0,14
2200 < 2300,RRab,0,0,2,0,0,0,0,0,0,0,0,2
2200 < 2300,RRc,0,0,0,2,0,0,0,0,0,0,0,2
2200 < 2300,SRV,0,3,0,2,11,0,0,0,0,0,0,16
2200 < 2300,contactBinary,0,0,0,1,0,0,0,0,0,0,0,1
2300 < 2400,Mira,76,37,0,0,33,0,0,1,0,0,0,147
2300 < 2400,OSARG,0,242,0,2,28,0,0,0,0,0,0,272
2300 < 2400,RRab,0,0,0,1,0,0,0,0,0,0,0,1
2300 < 2400,RRc,0,0,0,2,0,0,0,0,0,0,0,2
2300 < 2400,SRV,1,140,0,0,111,0,0,0,0,0,0,252
2300 < 2400,clasCep,0,0,0,0,3,0,0,0,0,0,0,3
2300 < 2400,detachedBinary,0,0,0,0,0,0,0,0,2,0,0,2
2400 < 2500,Mira,6,0,0,0,0,0,0,0,0,0,0,6
2400 < 2500,OSARG,0,10,0,0,3,0,0,0,0,0,0,13
2400 < 2500,RRab,0,0,4,0,0,0,0,0,0,0,0,4
2400 < 2500,RRc,0,0,0,9,0,0,0,0,0,0,0,9
2400 < 2500,SRV,1,2,0,0,6,0,0,0,0,0,0,9
2500 < 2600,Mira,6,0,0,0,0,0,0,0,0,0,0,6
2500 < 2600,OSARG,0,10,0,1,0,0,0,0,0,0,0,11
2500 < 2600,RRab,0,0,2,0,0,0,0,0,0,0,0,2
2500 < 2600,RRc,0,0,0,5,0,0,0,0,0,0,0,5
2500 < 2600,SRV,0,7,0,0,16,0,0,0,0,0,0,23
2500 < 2600,contactBinary,0,0,1,0,0,0,0,3,0,0,0,4
2500 < 2600,detachedBinary,0,0,0,0,0,0,0,0,2,0,0,2
2600 < 2700,Mira,24,0,0,0,0,0,0,0,0,0,0,24
2600 < 2700,OSARG,0,48,0,1,6,0,0,0,0,0,0,55
2600 < 2700,RRab,0,0,1,0,0,0,0,0,0,0,0,1
2600 < 2700,SRV,0,4,0,0,16,0,0,0,0,0,0,20
2600 < 2700,contactBinary,0,0,2,0,0,0,0,0,1,0,0,3
2600 < 2700,detachedBinary,0,0,0,0,0,0,0,2,2,0,0,4
2600 < 2700,t2Cep,0,0,0,0,0,0,0,0,0,3,0,3
2600 < 2700,t2RVTau,0,0,0,0,0,0,0,0,0,0,3,3
2700 < 2800,Mira,330,0,0,0,0,0,0,0,0,0,0,330
2700 < 2800,OSARG,0,513,0,1,49,0,0,0,0,0,0,563
2700 < 2800,RRab,0,0,3,0,0,0,0,0,0,2,0,5
2700 < 2800,RRc,0,0,0,6,0,0,0,0,0,0,0,6
2700 < 2800,SRV,4,41,0,0,379,0,0,0,0,0,0,424
2700 < 2800,contactBinary,0,0,0,0,0,0,0,3,2,1,0,6
2700 < 2800,detachedBinary,0,0,1,0,0,0,0,0,2,0,0,3
2800 < 2900,Mira,15,0,0,0,0,0,0,0,0,0,0,15
2800 < 2900,OSARG,0,11,0,0,1,0,0,0,0,0,0,12
2800 < 2900,RRab,0,0,6,1,0,0,0,0,0,0,0,7
2800 < 2900,RRc,0,0,0,4,0,0,0,0,0,0,0,4
2800 < 2900,SRV,0,0,0,0,4,0,0,0,0,0,0,4
2800 < 2900,contactBinary,0,0,1,0,0,0,0,0,0,0,0,1
2900 < 3000,Mira,15,0,0,0,0,0,0,0,0,0,0,15
2900 < 3000,OSARG,0,60,0,0,3,0,0,0,0,0,0,63
2900 < 3000,RRab,0,0,4,0,0,0,0,0,0,0,0,4
2900 < 3000,RRc,0,0,0,3,0,0,0,0,0,0,0,3
2900 < 3000,SRV,0,6,0,0,36,0,0,0,0,0,0,42
2900 < 3000,detachedBinary,0,0,1,1,0,0,0,0,0,0,0,2
2900 < 3000,t2Cep,0,0,0,0,0,0,0,0,0,3,0,3
