No. Data Points,Actual,Mira,OSARG,RRab,RRc,SRV,clasCep,clasOvertoneCep,contactBinary,detachedBinary,dsct,t2Cep,t2RVTau,All
14400 < 14500,RRab,0,0,1,1,0,0,0,0,0,0,1,0,3
14400 < 14500,RRc,0,0,0,4,0,0,0,0,0,0,0,0,4
14400 < 14500,t2Cep,0,0,0,0,0,0,0,0,0,0,3,0,3
14500 < 14600,RRab,0,0,1,0,0,0,0,0,0,0,0,0,1
14500 < 14600,t2Cep,0,0,0,0,0,0,0,0,0,0,3,0,3
14500 < 14600,t2RVTau,0,0,0,0,0,0,0,0,0,0,3,0,3
14600 < 14700,RRab,0,0,4,1,0,0,0,0,0,0,0,0,5
14600 < 14700,RRc,0,0,1,0,0,0,0,0,0,0,0,0,1
14600 < 14700,t2Cep,0,0,0,0,0,0,0,0,0,0,3,0,3
14700 < 14800,RRab,0,0,2,0,0,0,0,0,0,0,0,0,2
14700 < 14800,RRc,0,0,0,12,0,0,0,0,0,0,0,0,12
14800 < 14900,RRab,0,0,19,2,0,0,0,0,0,0,2,0,23
14800 < 14900,RRc,0,0,1,21,0,0,0,0,0,0,0,0,22
14800 < 14900,t2Cep,0,0,0,0,0,0,0,0,0,0,3,0,3
14900 < 15000,RRab,0,0,113,19,0,0,0,0,0,0,7,0,139
14900 < 15000,RRc,0,0,0,161,0,0,0,0,0,0,0,0,161
14900 < 15000,clasOvertoneCep,0,0,0,2,0,0,1,0,0,0,0,0,3
14900 < 15000,t2Cep,0,0,0,0,0,0,0,0,0,0,24,0,24
1500 < 1600,Mira,24,0,0,0,0,0,0,0,0,0,0,0,24
1500 < 1600,OSARG,0,10,0,0,1,0,0,0,0,0,0,0,11
1500 < 1600,RRab,0,0,163,49,0,0,0,1,0,0,4,0,217
1500 < 1600,RRc,0,0,0,287,0,0,0,1,0,0,0,0,288
1500 < 1600,SRV,1,1,0,0,12,0,0,0,0,0,0,0,14
1500 < 1600,clasCep,0,0,0,3,0,0,0,0,0,0,0,0,3
1500 < 1600,contactBinary,0,0,2,0,0,0,0,0,0,0,0,0,2
1500 < 1600,detachedBinary,0,0,0,0,0,0,0,1,1,1,0,0,3
1500 < 1600,dsct,0,0,0,0,0,0,0,0,0,36,0,0,36
1500 < 1600,t2Cep,0,0,0,1,0,0,0,0,0,0,41,0,42
1500 < 1600,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,9,9
15000 < 15100,RRab,0,0,22,1,0,0,0,0,0,0,0,0,23
15000 < 15100,RRc,0,0,0,11,0,0,0,0,0,0,0,0,11
15000 < 15100,clasOvertoneCep,0,0,0,1,0,0,2,0,0,0,0,0,3
15000 < 15100,t2Cep,0,0,0,0,0,0,0,0,0,0,9,0,9
15000 < 15100,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,3,3
1600 < 1700,Mira,30,0,0,0,0,0,0,0,0,0,0,0,30
1600 < 1700,OSARG,0,41,0,0,3,0,0,0,2,0,0,0,46
1600 < 1700,RRab,0,0,144,47,0,0,0,3,3,0,1,0,198
1600 < 1700,RRc,0,0,3,222,0,0,0,1,0,0,0,0,226
1600 < 1700,SRV,0,1,0,0,25,0,0,0,0,0,1,0,27
1600 < 1700,clasOvertoneCep,0,0,0,6,0,0,0,0,0,0,0,0,6
1600 < 1700,detachedBinary,0,0,0,1,0,0,0,0,1,0,0,0,2
1600 < 1700,dsct,0,0,0,0,0,0,0,0,0,3,0,0,3
1600 < 1700,t2Cep,0,0,5,0,0,0,0,0,0,0,21,1,27
1600 < 1700,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,6,6
1700 < 1800,Mira,110,1,0,0,0,0,0,0,0,0,0,0,111
1700 < 1800,OSARG,0,191,0,0,17,0,0,0,0,0,0,0,208
1700 < 1800,RRab,0,0,115,27,0,0,0,0,0,0,5,0,147
1700 < 1800,RRc,0,0,3,163,0,0,0,0,0,0,0,0,166
1700 < 1800,SRV,3,10,0,0,179,0,0,0,0,0,0,0,192
1700 < 1800,clasOvertoneCep,0,0,0,7,0,0,1,0,0,0,1,0,9
1700 < 1800,detachedBinary,0,0,0,1,0,0,0,0,0,0,0,0,1
1700 < 1800,dsct,0,0,0,0,0,0,0,0,0,3,0,0,3
1700 < 1800,t2Cep,0,0,2,1,0,0,0,0,0,0,24,0,27
1700 < 1800,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,6,6
1800 < 1900,Mira,18,0,0,0,0,0,0,0,0,0,0,0,18
1800 < 1900,OSARG,0,44,0,0,10,0,0,0,0,1,0,0,55
1800 < 1900,RRab,0,0,176,62,0,0,0,2,0,0,3,0,243
1800 < 1900,RRc,0,0,17,173,0,0,0,0,1,0,0,0,191
1800 < 1900,SRV,1,4,0,0,29,0,0,0,0,0,0,1,35
1800 < 1900,clasOvertoneCep,0,0,0,3,0,0,0,0,0,0,0,0,3
1800 < 1900,dsct,0,0,0,0,0,0,0,0,0,3,0,0,3
1800 < 1900,t2Cep,0,0,6,3,0,0,0,0,0,0,24,0,33
1800 < 1900,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,12,12
1900 < 2000,Mira,13,0,0,0,2,0,0,0,0,0,0,0,15
1900 < 2000,OSARG,0,19,0,0,3,0,0,0,0,0,0,0,22
1900 < 2000,RRab,0,0,332,80,0,0,0,0,0,0,4,0,416
1900 < 2000,RRc,0,0,13,472,0,0,0,0,0,0,2,0,487
1900 < 2000,SRV,0,3,0,0,9,0,0,0,0,0,0,0,12
1900 < 2000,clasCep,0,0,4,5,0,0,0,0,0,0,0,0,9
1900 < 2000,contactBinary,0,0,0,3,0,0,0,0,0,0,0,0,3
1900 < 2000,detachedBinary,0,0,0,1,0,0,0,0,0,0,0,0,1
1900 < 2000,dsct,0,0,0,0,0,0,0,0,0,3,0,0,3
1900 < 2000,t2Cep,0,0,7,0,0,0,0,0,0,0,65,0,72
1900 < 2000,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,24,24
200 < 300,Mira,3572,1,19,0,25,66,0,0,0,5,88,57,3833
200 < 300,OSARG,2,670,4,6,163,3,8,5,14,1,8,0,884
200 < 300,RRab,17,20,775,163,42,3227,251,76,14,10,1391,10,5996
200 < 300,RRc,9,4,252,796,4,2319,1042,164,29,14,1635,2,6270
200 < 300,SRV,188,28,31,78,1064,317,896,11,39,11,1078,29,3770
200 < 300,clasCep,0,1,9,6,2,650,66,5,0,0,16,1,756
200 < 300,clasOvertoneCep,0,0,0,1,2,16,414,0,0,0,2,0,435
200 < 300,contactBinary,1,1,13,23,0,5,17,1507,190,0,21,0,1778
200 < 300,detachedBinary,0,0,1,13,5,2,20,498,1011,1,17,2,1570
200 < 300,dsct,6,10,125,227,5,932,1904,26,48,48,562,8,3901
200 < 300,t2Cep,0,0,26,12,3,163,42,5,4,1,563,6,825
200 < 300,t2RVTau,5,0,2,0,0,13,7,0,4,0,55,37,123
2000 < 2100,Mira,10,0,3,0,2,0,0,0,0,0,0,0,15
2000 < 2100,OSARG,0,12,0,0,1,0,0,0,0,0,0,0,13
2000 < 2100,RRab,0,1,56,14,0,0,0,0,0,0,0,0,71
2000 < 2100,RRc,0,0,2,77,0,0,0,0,0,0,0,0,79
2000 < 2100,SRV,0,2,0,0,6,0,0,0,0,0,0,0,8
2000 < 2100,contactBinary,0,0,1,1,0,0,0,1,0,0,0,0,3
2000 < 2100,detachedBinary,0,0,0,0,0,0,0,0,1,0,0,0,1
2000 < 2100,dsct,0,0,0,2,0,0,0,0,0,1,0,0,3
2000 < 2100,t2Cep,0,0,3,0,0,0,0,0,0,0,6,0,9
2000 < 2100,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,6,6
2100 < 2200,Mira,24,0,1,0,5,0,0,0,0,0,0,0,30
2100 < 2200,OSARG,0,7,0,0,1,0,0,0,0,0,0,0,8
2100 < 2200,RRab,0,0,2,0,0,0,0,0,0,0,0,0,2
2100 < 2200,RRc,0,0,0,2,0,0,0,0,0,0,0,0,2
2100 < 2200,SRV,0,3,1,0,2,0,0,0,0,0,1,0,7
2100 < 2200,contactBinary,0,0,0,2,0,0,0,0,0,0,0,0,2
2100 < 2200,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,3,3
2200 < 2300,Mira,17,0,0,0,7,0,0,0,0,0,0,0,24
2200 < 2300,OSARG,0,11,0,0,4,0,0,0,0,0,0,0,15
2200 < 2300,RRab,0,0,2,0,0,0,0,0,0,0,0,0,2
2200 < 2300,RRc,0,0,0,3,0,0,0,0,0,0,0,0,3
2200 < 2300,SRV,2,4,0,1,4,0,0,0,0,0,0,0,11
2200 < 2300,detachedBinary,0,0,0,0,0,0,0,0,1,0,0,0,1
2300 < 2400,Mira,87,17,0,2,41,0,0,0,0,0,0,0,147
2300 < 2400,OSARG,5,215,0,0,27,0,0,0,0,0,0,0,247
2300 < 2400,RRab,0,0,1,2,0,0,0,0,0,0,0,0,3
2300 < 2400,RRc,0,0,0,4,0,0,0,0,0,0,0,0,4
2300 < 2400,SRV,3,105,0,0,151,0,0,0,0,0,0,0,259
2300 < 2400,clasCep,0,0,0,0,0,0,1,0,0,0,2,0,3
2400 < 2500,Mira,6,0,0,0,0,0,0,0,0,0,0,0,6
2400 < 2500,OSARG,0,8,0,0,1,0,0,0,0,0,0,0,9
2400 < 2500,RRab,0,0,3,0,0,0,0,0,0,0,0,0,3
2400 < 2500,RRc,0,0,0,8,0,0,0,0,0,0,0,0,8
2400 < 2500,SRV,1,0,0,0,9,0,0,0,0,0,0,0,10
2500 < 2600,Mira,6,0,0,0,0,0,0,0,0,0,0,0,6
2500 < 2600,OSARG,0,17,0,2,3,0,0,0,0,0,0,0,22
2500 < 2600,RRc,0,0,0,5,0,0,0,0,0,0,0,0,5
2500 < 2600,SRV,0,1,0,1,7,0,0,0,0,0,0,0,9
2500 < 2600,contactBinary,0,0,1,0,0,0,0,1,0,0,0,0,2
2600 < 2700,Mira,24,0,0,0,0,0,0,0,0,0,0,0,24
2600 < 2700,OSARG,0,48,0,0,6,0,0,0,0,0,0,0,54
2600 < 2700,RRc,0,0,0,1,0,0,0,0,0,0,0,0,1
2600 < 2700,SRV,0,3,0,2,22,0,0,0,0,0,0,0,27
2600 < 2700,contactBinary,0,0,2,2,0,0,0,0,1,0,0,0,5
2600 < 2700,detachedBinary,0,0,0,0,0,0,0,1,3,0,0,0,4
2600 < 2700,t2Cep,0,0,0,0,0,0,0,0,0,0,3,0,3
2600 < 2700,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,3,3
2700 < 2800,Mira,330,0,0,0,0,0,0,0,0,0,0,0,330
2700 < 2800,OSARG,0,489,1,0,64,0,0,0,0,0,1,0,555
2700 < 2800,RRab,0,0,3,0,0,0,0,0,0,0,0,0,3
2700 < 2800,RRc,0,0,0,10,0,0,0,0,0,0,0,0,10
2700 < 2800,SRV,4,12,0,0,403,0,0,0,0,0,0,0,419
2700 < 2800,contactBinary,0,0,0,2,0,0,0,4,1,0,1,0,8
2700 < 2800,detachedBinary,0,0,1,0,0,0,0,2,1,0,0,0,4
2800 < 2900,Mira,15,0,0,0,0,0,0,0,0,0,0,0,15
2800 < 2900,OSARG,0,15,0,0,0,0,0,0,0,0,0,0,15
2800 < 2900,RRab,0,0,2,1,0,0,0,0,0,0,0,0,3
2800 < 2900,RRc,0,0,0,2,0,0,0,0,0,0,0,0,2
2800 < 2900,SRV,0,0,0,0,14,0,0,0,0,0,0,0,14
2800 < 2900,contactBinary,0,0,0,0,0,0,0,1,0,0,0,0,1
2800 < 2900,detachedBinary,0,0,0,2,0,0,0,0,0,0,0,0,2
2900 < 3000,Mira,15,0,0,0,0,0,0,0,0,0,0,0,15
2900 < 3000,OSARG,0,60,0,0,6,0,0,0,0,0,0,0,66
2900 < 3000,RRab,0,1,3,1,0,0,0,0,0,0,0,0,5
2900 < 3000,RRc,0,0,0,4,0,0,0,0,0,0,0,0,4
2900 < 3000,SRV,0,0,0,0,43,0,0,0,0,0,0,0,43
2900 < 3000,detachedBinary,0,0,2,1,0,0,0,2,0,0,0,0,5
2900 < 3000,t2Cep,0,0,0,0,0,0,0,0,0,0,3,0,3
300 < 400,Mira,2665,0,16,0,11,78,0,0,4,7,137,11,2929
300 < 400,OSARG,0,1691,2,1,250,0,11,1,7,0,5,0,1968
300 < 400,RRab,8,0,527,123,14,948,109,22,4,11,211,2,1979
300 < 400,RRc,4,1,74,531,4,507,443,36,11,11,186,0,1808
300 < 400,SRV,135,57,34,37,2060,230,572,8,42,9,528,16,3728
300 < 400,clasCep,0,0,6,3,0,637,47,3,0,0,6,0,702
300 < 400,clasOvertoneCep,0,0,0,15,0,9,337,0,2,0,0,0,363
300 < 400,contactBinary,0,0,2,11,0,8,6,1606,168,0,7,0,1808
300 < 400,detachedBinary,0,1,0,9,4,4,7,536,1177,0,5,0,1743
300 < 400,dsct,0,7,31,75,4,283,910,26,32,206,69,0,1643
300 < 400,t2Cep,0,0,26,6,0,83,16,0,0,1,401,1,534
300 < 400,t2RVTau,3,0,0,0,0,11,6,2,0,0,25,52,99
3000 < 3100,RRab,0,0,1,0,0,0,0,0,0,0,0,0,1
3000 < 3100,contactBinary,0,0,1,2,0,0,0,3,2,0,1,0,9
3000 < 3100,detachedBinary,0,0,1,0,0,0,0,1,0,0,0,0,2
3100 < 3200,RRab,0,0,2,1,0,0,0,0,0,0,0,0,3
3100 < 3200,detachedBinary,0,0,0,0,0,0,0,1,0,0,0,0,1
3200 < 3300,RRab,0,0,3,0,0,0,0,0,0,0,0,0,3
3200 < 3300,RRc,0,0,1,4,0,0,0,0,0,0,0,0,5
3200 < 3300,contactBinary,0,0,0,0,0,0,0,0,1,0,0,0,1
3200 < 3300,detachedBinary,0,0,1,0,0,0,0,1,2,0,0,0,4
3300 < 3400,RRab,0,0,2,1,0,0,0,0,0,0,0,0,3
3300 < 3400,RRc,0,0,0,3,0,0,0,0,0,0,0,0,3
3300 < 3400,detachedBinary,0,0,0,1,0,0,0,0,1,0,0,0,2
3300 < 3400,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,3,3
3400 < 3500,RRab,0,0,2,1,0,0,0,0,0,0,0,0,3
3400 < 3500,RRc,0,0,0,1,0,0,0,0,0,0,0,0,1
3400 < 3500,detachedBinary,0,0,1,0,0,0,0,1,1,0,0,0,3
3500 < 3600,RRab,0,0,0,0,0,0,0,0,0,0,1,0,1
3500 < 3600,RRc,0,0,0,6,0,0,0,0,0,0,0,0,6
