# vivaID,ra,dec,freqSTR,freqPDM,freqLSG,ksAmpl,jmhPnt,kFi2,faPcorrelation2,wesenheit,jAperMag3,ksAperMag3,flagNfreq,flagFbias6,flagFbias7,upload_RA,upload_Dec,varType
#
# Results of Query: Database VVVDR4 06/02/20 23:15
# select viva.vivaID,viva.ra,viva.dec,viva.freqSTR,viva.freqPDM,
# viva.freqLSG,(v.ksMaxMag-v.ksMinMag) as ksAmpl,s.jmhPnt,viva.kFi2,
# viva.faPcorrelation2,CASE WHEN (s.ksAperMag3>0 and s.jAperMag3>0 and 
# s.ksAperMag3<25 and s.jAperMag3<25) THEN (s.ksAperMag3 - 
# 0.686*(s.jAperMag3-s.ksAperMag3)) ELSE -9.9999999e8 END as wesenheit,
# s.jAperMag3,s.ksAperMag3,flagNfreq,flagFbias6,flagFbias7, u.upload_RA,
#  u.upload_Dec, u.varType from vvvVivaCatalogue as viva,vvvVariability 
# as v,vvvSource as s,#userTable as u  where v.sourceID=viva.vivaID and 
# v.ksMinMag>0. and v.ksnGoodObs>40 and viva.faPcorrelation2 > 0 and 
# s.sourceID=v.sourceID and v.sourceID=u.sourceID
# Column Headers at start of file AND below
#
# vivaID,ra,dec,freqSTR,freqPDM,freqLSG,ksAmpl,jmhPnt,kFi2,faPcorrelation2,wesenheit,jAperMag3,ksAperMag3,flagNfreq,flagFbias6,flagFbias7,upload_RA,upload_Dec,varType
        515437080519,    +267.1833599,     -22.3323646,     +28.3821115,     +20.0507234,     +25.1154177,     +0.507338,     +0.718315,      +0.9166670,      +0.8098080,      +9.6296091,    +11.790229,    +10.508722,     2,   140,   117,    +267.1833750,     -22.3323100,OSARG
        515472680603,    +271.8952755,     -25.6076214,      +3.9953344,      +9.7256200,      +9.7253656,     +0.751944,     +0.325887,      +1.0000000,      +0.8213600,     +10.2718906,    +11.837832,    +10.909041,     2,    19,     3,    +271.8952500,     -25.6076400,OSARG
        515472999700,    +271.8610275,     -25.2040110,      +6.1610560,     +22.6106719,     +25.7866760,     +0.602405,     +0.430416,      +1.0000000,      +0.8901680,     +10.1632414,    +12.178515,    +10.983216,     2,    29,     5,    +271.8610000,     -25.2040300,OSARG
        515475465494,    +274.7738820,     -25.9661089,      +0.2961751,      +0.3112467,      +0.6915740,     +0.864196,     +0.294301,      +1.0000000,      +0.9174230,     +10.6493826,    +11.451981,    +10.975944,     1,     1,     1,    +274.7738750,     -25.9660800,OSARG
        515482482604,    +271.9383764,     -26.3599711,     +29.2881804,      +1.0738694,      +0.0963775,     +0.632639,     +0.414083,      +0.7419350,      +0.7116450,      +9.9878330,    +11.855190,    +10.747623,     1,     1,     1,    +271.9383750,     -26.3599700,OSARG
        515482991603,    +272.7365437,     -25.8712606,     +27.2203819,     +12.5915305,     +13.5940437,     +0.772567,     +0.327256,      +0.8000000,      +0.7823790,     +10.1183901,    +11.666756,    +10.748389,     5,    25,     7,    +272.7365000,     -25.8713100,OSARG
        515483107886,    +272.7505192,     -25.6733191,     +28.6457703,      +1.7482000,      +9.1601228,     +0.938801,     +0.305054,      +0.8750000,      +0.8681980,     +10.2089729,    +11.574621,    +10.764628,     2,    99,    16,    +272.7505000,     -25.6733300,OSARG
        515490303749,    +263.8947442,     -26.8828996,      +3.2095627,      +0.2569754,     +11.6555171,     +0.959536,     +0.514500,      +1.0000000,      +0.9524920,     +10.1387930,    +11.669057,    +10.761427,     1,   123,    48,    +263.8947500,     -26.8828900,OSARG
        515494839556,    +270.3014983,     -27.1808161,     +15.5715962,      +1.5130738,      +8.9337348,     +0.521600,     +0.441052,      +0.8571430,      +0.7905350,      +9.8661880,    +11.902651,    +10.694784,     1,   140,    35,    +270.3015000,     -27.1808300,OSARG
        515494865257,    +270.6041352,     -27.2875521,     +22.9723188,     +17.1878206,      +4.1233073,     +0.644306,     +0.555945,      +1.0000000,      +0.8346050,      +9.9667196,    +11.901432,    +10.753916,     1,    60,     1,    +270.6041250,     -27.2875600,OSARG
