No. Data Points,Actual,Mira,OSARG,RRab,RRc,SRV,clasCep,clasOvertoneCep,contactBinary,detachedBinary,dsct,t2Cep,t2RVTau,All
1400 < 1500,detachedBinary,0,0,5,5,0,0,0,74,274,0,1,0,359
1400 < 1500,dsct,0,0,0,0,0,0,0,0,0,48,0,0,48
1400 < 1500,t2Cep,0,0,0,0,0,0,0,0,0,0,12,0,12
1400 < 1500,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,3,3
14000 < 14100,RRab,0,0,3,0,0,0,0,0,0,0,0,0,3
14100 < 14200,RRab,0,0,2,0,0,0,0,0,0,0,0,0,2
14100 < 14200,RRc,0,0,0,3,0,0,0,0,0,0,0,0,3
14200 < 14300,RRab,0,0,1,0,0,0,0,0,0,0,0,0,1
14200 < 14300,RRc,0,0,0,6,0,0,0,0,0,0,0,0,6
14200 < 14300,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,3,3
14300 < 14400,RRab,0,0,5,1,0,0,0,0,0,0,1,0,7
14300 < 14400,RRc,0,0,0,7,0,0,0,0,0,0,2,0,9
14400 < 14500,RRab,0,0,6,0,0,0,0,0,0,0,0,0,6
14400 < 14500,RRc,0,0,0,6,0,0,0,0,0,0,0,0,6
14400 < 14500,t2Cep,0,0,0,0,0,0,0,0,0,0,3,0,3
14500 < 14600,RRab,0,0,5,0,0,0,0,0,0,0,0,0,5
14500 < 14600,RRc,0,0,0,3,0,0,0,0,0,0,0,0,3
14500 < 14600,t2Cep,0,0,0,0,0,0,0,0,0,0,3,0,3
14500 < 14600,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,3,3
14600 < 14700,RRab,0,0,1,0,0,0,0,0,0,0,0,0,1
14600 < 14700,RRc,0,0,1,2,0,0,1,0,0,0,0,0,4
14600 < 14700,t2Cep,0,0,0,0,0,0,0,0,0,0,3,0,3
14700 < 14800,RRab,0,0,3,0,0,0,0,0,0,0,0,0,3
14700 < 14800,RRc,0,0,0,10,0,0,0,0,0,0,0,0,10
14800 < 14900,RRab,0,0,19,3,0,0,0,0,0,0,1,0,23
14800 < 14900,RRc,0,0,0,22,0,0,0,0,0,0,2,0,24
14800 < 14900,t2Cep,0,0,0,0,0,0,0,0,0,0,3,0,3
14900 < 15000,RRab,0,0,131,8,0,0,0,0,0,0,2,0,141
14900 < 15000,RRc,0,0,1,182,0,0,0,0,0,0,0,0,183
14900 < 15000,clasOvertoneCep,0,0,0,0,0,0,1,0,0,0,2,0,3
14900 < 15000,t2Cep,0,0,0,0,0,0,0,0,0,0,24,0,24
1500 < 1600,Mira,24,0,0,0,0,0,0,0,0,0,0,0,24
1500 < 1600,OSARG,0,18,0,0,2,0,0,0,0,0,0,0,20
1500 < 1600,RRab,0,0,155,24,0,0,0,1,0,0,6,0,186
1500 < 1600,RRc,0,2,8,283,0,0,0,1,3,0,0,0,297
1500 < 1600,SRV,0,3,0,0,9,0,0,0,0,0,0,0,12
1500 < 1600,clasCep,0,0,0,3,0,0,0,0,0,0,0,0,3
