No. Data Points,Actual,Mira,OSARG,RRab,RRc,RRd,SRV,clasCep,clasOvertoneCep,contactBinary,detachedBinary,dsct,t2Cep,t2RVTau,All
2600 < 2700,contactBinary,0,0,0,0,0,0,0,0,2,0,0,0,0,2
2600 < 2700,detachedBinary,0,0,0,0,0,0,0,0,0,3,0,0,0,3
2600 < 2700,t2Cep,0,0,0,0,0,0,0,0,0,0,0,3,0,3
2600 < 2700,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,0,3,3
2700 < 2800,Mira,330,0,0,0,0,0,0,0,0,0,0,0,0,330
2700 < 2800,OSARG,0,522,0,0,0,41,0,0,0,0,0,0,0,563
2700 < 2800,RRab,0,0,3,0,0,0,0,0,0,0,0,1,0,4
2700 < 2800,RRc,0,0,0,4,0,0,0,0,0,0,0,0,0,4
2700 < 2800,SRV,11,31,0,0,0,393,0,0,0,0,0,0,0,435
2700 < 2800,contactBinary,0,0,0,0,0,0,0,0,5,0,0,1,0,6
2700 < 2800,detachedBinary,0,0,0,0,0,0,0,0,0,2,0,0,0,2
2800 < 2900,Mira,14,0,0,0,0,0,0,0,0,0,0,0,1,15
